   DATE        X           sigmaX     Y         sigmaY
47904.0000      0.449      0.270     -0.160      0.254 
47905.0000      0.553      0.355     -0.202      0.329 
47906.0000      0.374      0.484     -0.256      0.442 
47907.0000      0.159      0.598     -0.270      0.542 
47908.0000      0.177      0.496     -0.131      0.468 
47909.0000      0.258      0.367      0.012      0.370 
47910.0000      0.311      0.315      0.066      0.348 
47911.0000      0.252      0.309     -0.208      0.390 
47912.0000      0.133      0.317     -0.678      0.465 
47913.0000      0.236      0.312     -0.741      0.409 
47914.0000      0.371      0.304     -0.551      0.321 
47915.0000      0.165      0.334     -0.145      0.281 
47916.0000     -0.142      0.376      0.121      0.253 
47917.0000     -0.253      0.436     -0.185      0.245 
47918.0000      0.027      0.397     -0.329      0.234 
47919.0000      0.438      0.323     -0.191      0.218 
47920.0000      0.318      0.294     -0.133      0.212 
47921.0000     -0.075      0.274     -0.122      0.209 
47922.0000     -0.162      0.290     -0.052      0.212 
47923.0000     -0.097      0.316      0.029      0.216 
47924.0000      0.030      0.342      0.086      0.220 
47925.0000      0.084      0.413      0.008      0.225 
47926.0000      0.102      0.518     -0.123      0.231 
47927.0000      0.104      0.601     -0.239      0.235 
47928.0000      0.100      0.524     -0.258      0.228 
47929.0000      0.067      0.427     -0.243      0.220 
47930.0000     -0.012      0.427     -0.170      0.220 
47931.0000     -0.143      0.450     -0.219      0.223 
47932.0000     -0.347      0.396     -0.620      0.230 
47933.0000     -0.221      0.347     -0.595      0.227 
47934.0000      0.042      0.297     -0.294      0.221 
47935.0000      0.058      0.282     -0.123      0.223 
47936.0000      0.075      0.258     -0.143      0.212 
47937.0000      0.166      0.225     -0.275      0.194 
47938.0000      0.296      0.218     -0.358      0.195 
47939.0000      0.346      0.214     -0.344      0.196 
47940.0000      0.177      0.217     -0.130      0.199 
47941.0000      0.045      0.220     -0.200      0.201 
47942.0000      0.045      0.218     -0.296      0.201 
47943.0000      0.146      0.211     -0.280      0.199 
47944.0000      0.302      0.203     -0.214      0.197 
47945.0000      0.386      0.201     -0.227      0.199 
47946.0000      0.420      0.202     -0.280      0.205 
47947.0000      0.432      0.202     -0.329      0.213 
47948.0000      0.421      0.203     -0.360      0.220 
47949.0000      0.389      0.204     -0.360      0.225 
47950.0000      0.328      0.194     -0.284      0.208 
47951.0000      0.260      0.182     -0.201      0.185 
47952.0000      0.204      0.183     -0.190      0.186 
47953.0000      0.159      0.186     -0.219      0.190 
47954.0000      0.123      0.189     -0.268      0.194 
47955.0000      0.098      0.191     -0.277      0.203 
47956.0000      0.084      0.195     -0.261      0.221 
47957.0000      0.079      0.201     -0.239      0.249 
47958.0000      0.082      0.206     -0.215      0.274 
47959.0000      0.093      0.209     -0.192      0.290 
47960.0000      0.156      0.222     -0.193      0.375 
47961.0000      0.229      0.247     -0.205      0.543 
47962.0000      0.282      0.274     -0.222      0.730 
47963.0000      0.297      0.294     -0.242      0.861 
47964.0000      0.261      0.304     -0.263      0.927 
47965.0000      0.159      0.349     -0.314      1.241 
47966.0000     -0.036      0.376     -0.282      1.440 
47967.0000     -0.214      0.342     -0.213      1.148 
47968.0000     -0.183      0.342     -0.261      0.947 
47969.0000     -0.033      0.341     -0.362      0.706 
47970.0000      0.039      0.323     -0.220      0.593 
47971.0000      0.053      0.286      0.013      0.475 
47972.0000      0.045      0.246      0.156      0.349 
47973.0000      0.011      0.218      0.107      0.262 
47974.0000     -0.055      0.209     -0.264      0.230 
47975.0000     -0.131      0.209     -0.517      0.223 
47976.0000     -0.192      0.210     -0.500      0.218 
47977.0000     -0.216      0.211     -0.367      0.212 
47978.0000     -0.180      0.212     -0.241      0.207 
47979.0000     -0.053      0.219     -0.270      0.214 
47980.0000      0.072      0.239     -0.299      0.232 
47981.0000      0.161      0.279     -0.297      0.271 
47982.0000      0.204      0.336     -0.268      0.325 
47983.0000      0.185      0.388     -0.211      0.375 
47984.0000      0.089      0.418     -0.126      0.404 
47985.0000     -0.112      0.535     -0.009      0.516 
47986.0000     -0.220      0.549      0.061      0.530 
47987.0000     -0.186      0.483      0.062      0.465 
47988.0000     -0.065      0.395      0.017      0.378 
47989.0000      0.100      0.320     -0.056      0.304 
47990.0000      0.103      0.296     -0.070      0.281 
47991.0000      0.041      0.271     -0.069      0.258 
47992.0000     -0.014      0.241     -0.088      0.229 
47993.0000     -0.038      0.218     -0.139      0.208 
47994.0000     -0.009      0.206     -0.234      0.196 
47995.0000      0.110      0.198     -0.394      0.190 
47996.0000      0.171      0.195     -0.548      0.187 
47997.0000      0.139      0.192     -0.656      0.184 
47998.0000      0.074      0.190     -0.700      0.180 
47999.0000      0.027      0.188     -0.661      0.178 
48000.0000      0.099      0.181     -0.468      0.170 
48001.0000      0.195      0.173     -0.229      0.161 
48002.0000      0.217      0.179      0.029      0.166 
48003.0000      0.189      0.189      0.195      0.175 
48004.0000      0.137      0.197      0.157      0.182 
48005.0000      0.083      0.194     -0.255      0.180 
48006.0000     -0.006      0.187     -0.424      0.175 
48007.0000     -0.114      0.178     -0.287      0.168 
48008.0000     -0.156      0.180     -0.295      0.171 
48009.0000     -0.159      0.185     -0.358      0.176 
48010.0000     -0.157      0.187     -0.401      0.178 
48011.0000     -0.151      0.189     -0.421      0.179 
48012.0000     -0.137      0.191     -0.429      0.182 
48013.0000     -0.115      0.193     -0.425      0.184 
48014.0000     -0.085      0.195     -0.408      0.186 
48015.0000     -0.018      0.197     -0.344      0.188 
48016.0000      0.058      0.200     -0.266      0.192 
48017.0000      0.121      0.205     -0.194      0.197 
48018.0000      0.160      0.208     -0.140      0.201 
48019.0000      0.164      0.210     -0.115      0.203 
48020.0000      0.023      0.213     -0.202      0.212 
48021.0000     -0.121      0.217     -0.301      0.224 
48022.0000     -0.181      0.219     -0.352      0.233 
48023.0000      0.033      0.209     -0.276      0.217 
48024.0000      0.235      0.198     -0.148      0.197 
48025.0000      0.084      0.182      0.047      0.180 
48026.0000     -0.222      0.165      0.123      0.163 
48027.0000     -0.443      0.161     -0.166      0.158 
48028.0000     -0.367      0.167     -0.201      0.162 
48029.0000     -0.073      0.178      0.046      0.171 
48030.0000      0.090      0.181      0.110      0.173 
48031.0000      0.120      0.182      0.025      0.174 
48032.0000      0.072      0.183     -0.087      0.175 
48033.0000     -0.047      0.184     -0.175      0.176 
48034.0000     -0.249      0.184     -0.178      0.175 
48035.0000     -0.270      0.177     -0.153      0.168 
48036.0000     -0.132      0.166     -0.102      0.158 
48037.0000     -0.050      0.166      0.054      0.159 
48038.0000     -0.055      0.174      0.255      0.165 
48039.0000     -0.116      0.182      0.389      0.171 
48040.0000     -0.283      0.183      0.286      0.171 
48041.0000     -0.452      0.183      0.072      0.170 
48042.0000     -0.404      0.187     -0.095      0.172 
48043.0000     -0.210      0.193     -0.209      0.178 
48044.0000      0.006      0.198     -0.288      0.183 
48045.0000      0.008      0.203     -0.296      0.185 
48046.0000     -0.081      0.209     -0.285      0.187 
48047.0000     -0.146      0.215     -0.305      0.188 
48048.0000     -0.049      0.221     -0.487      0.200 
48049.0000      0.089      0.229     -0.643      0.214 
48050.0000      0.200      0.231     -0.512      0.224 
48051.0000      0.146      0.231     -0.218      0.232 
48052.0000     -0.260      0.231      0.088      0.236 
48053.0000     -0.350      0.227      0.066      0.229 
48054.0000     -0.103      0.220     -0.236      0.218 
48055.0000      0.075      0.218     -0.358      0.215 
48056.0000      0.154      0.218     -0.322      0.213 
48057.0000      0.182      0.216     -0.254      0.211 
48058.0000      0.147      0.215     -0.200      0.209 
48059.0000      0.037      0.214     -0.205      0.208 
48060.0000     -0.358      0.216     -0.608      0.210 
48061.0000     -0.527      0.218     -0.695      0.213 
48062.0000     -0.115      0.216      0.030      0.211 
48063.0000      0.162      0.217      0.320      0.213 
48064.0000      0.212      0.218      0.126      0.215 
48065.0000      0.057      0.221     -0.333      0.223 
48066.0000     -0.080      0.220     -0.595      0.223 
48067.0000     -0.101      0.213     -0.498      0.214 
48068.0000     -0.070      0.203     -0.257      0.202 
48069.0000     -0.027      0.196     -0.020      0.192 
48070.0000     -0.033      0.192     -0.089      0.189 
48071.0000     -0.066      0.190     -0.232      0.186 
48072.0000     -0.133      0.189     -0.221      0.185 
48073.0000     -0.219      0.188     -0.098      0.184 
48074.0000     -0.302      0.188      0.068      0.183 
48075.0000     -0.299      0.187      0.120      0.182 
48076.0000     -0.241      0.187      0.096      0.182 
48077.0000     -0.168      0.187      0.043      0.180 
48078.0000     -0.095      0.187     -0.026      0.179 
48079.0000     -0.041      0.187     -0.099      0.179 
48080.0000     -0.102      0.186     -0.166      0.177 
48081.0000     -0.176      0.185     -0.211      0.174 
